EMOTION,WEATHER,RAGA,SINGER,COMPOSER,SONG,LINK
Happy,Rainy,Hamsadhwani,KJ Yesudas,Muthuswami Dikshitar,Vaatapi Ganapathim,https://open.spotify.com/track/3YlTsXQIWByBGKteLOuQg8
Happy,Rainy,Hamsadhwani,"G Venugopal,Radhika Thilak",Sharreth,maya manjalil,https://open.spotify.com/track/4fuT1LKVUtgOm7lRL1ADub
Happy,Rainy,Hamsadhwani,KJ Yesudas,Raveendran,sree vinayakam,https://open.spotify.com/track/1nbZQLzBrbDHn6H46kED2G
Happy,Rainy,Hamsadhwani,KJ Yesudas,Sharreth,aa ragam,https://open.spotify.com/track/6F9r7ZSfklOpepG1QOeTYd
Happy,Rainy,Hamsadhwani,KJ Yesudas,Ilaiyaraaja,Vaalittezhuthiya,https://open.spotify.com/track/5E219RKGgXfSmGt2cjqJAJ
Happy,Sunny,Kalyani,V Devanand,Vidyasagar,Kaadirangi odivarum,https://open.spotify.com/track/064FhOxnMFX0OH0ONRwW5T
Happy,Sunny,Kalyani,"MG Sreekumar,KS Chithra",Vidyasagar,vellinila,https://open.spotify.com/track/6Y8BfAciA0NFKxRL61MMM1
Happy,Sunny,Kalyani,"V Devanand,Sujatha Mohan",Vidyasagar,Thotturummi,https://open.spotify.com/track/2ckEuHRIslaCSojHZILa72
Happy,Sunny,Kalyani,"KJ Yesudas,S Janaki",Ilaiyaraaja,poomkaatinodum,https://open.spotify.com/track/0451brr56bCl3plozklXyc
Happy,Sunny,Kalyani,"Madhu Balakrishnan,Swetha Mohan",Ilaiyaraaja,mandarapoo mooli,https://open.spotify.com/track/2eh5e9wzQrB1Sb9HQN170m
Happy,Sunny,Kalyani,"S P Balasubrahmanyam,S Janaki",Ilaiyaraaja,sundari kannal,https://open.spotify.com/track/6mssbRQ5gvSac5YWjPiVgl
Happy,Rainy,Shankarabharanam,"MG Sreekumar,KS Chithra",MG Radhakrishnan,Ambalappuzhe,https://open.spotify.com/track/667uJqfYpR5Q7L8cf7iLjY
Happy,Rainy,Shankarabharanam,"KJ Yesudas,Shabnam Riyaz",Vidyasagar,Vennilaa chandanakkinnam (D),https://open.spotify.com/track/1x0aIrIahr9wTx4Fu0ehNV
Happy,Rainy,Shankarabharanam,"MG Sreekumar,Manjari",MG Radhakrishnan,Pinakkamaano,http://open.spotify.com/track/6xjzMt27vO6fhHxXGsligl
Happy,Rainy,Shankarabharanam,KS Chithra,Ilaiyaraaja,Enthu Paranjaalum [F],https://open.spotify.com/track/2joEDRkMMB593yGWKWYsXI
Happy,Rainy,Shankarabharanam,"KS Harishankar,Poornasree",Rahul Raj,Then Panimathiye,https://open.spotify.com/track/1sm3MkVfndyW6VekIkHWSH
Happy,Sunny,Madyamavathi,"M G Sreekumar, Sujatha Mohan",P. Sundararajan,Orikkal Nee,https://open.spotify.com/track/002V0rc7CAgdJPoNwDPdW1?si=MCR0Oqs2TY-l9EuacW9QiA
Happy,Sunny,Madyamavathi,P Jayachandran,Berni Ignatius,Aaruparanju,https://open.spotify.com/track/2I3FrVLcTnulArSPzMy7kY?si=YncNiY5sRDqXsMNSAEP8sw
Happy,Sunny,Madyamavathi,"Balaram, Sujatha Mohan",Vidyasagar,Pai Kurumbiye,https://open.spotify.com/track/5oPuUgT79wAJMVfsGuow6T?si=nHfEN1B7QBa9Ml8AmXiEqg
Happy,Sunny,Madyamavathi,M. G. Sreekumar,MG Radhakrishnan,Pazhanimala,https://open.spotify.com/track/5pfcV8XIU3V4iYqocMGEwR?si=_xW_yZpURm-Z0rpIgEXYCg
Sad ,Sunny,Sindhu Bhairavi,"KJ Yesudas,S Janaki",Ilaiyaraaja,Konchi Karayalle,https://open.spotify.com/track/6PgDrdmlaoZOENJL4sHYrI
Sad ,Sunny,Sindhu Bhairavi,KJ Yesudas,Raveendran,Harimuraleeravam,https://open.spotify.com/track/49fz8ZaeCXkvJ4GysGviY1
Sad ,Sunny,Sindhu Bhairavi,KJ Yesudas,Ilaiyaraaja,Snehathin poonchola,https://open.spotify.com/track/2upj1XwLpmZxKVuO9vSQHX
Sad ,Sunny,Sindhu Bhairavi,KJ Yesudas,Ouseppachan,Raappadi,https://open.spotify.com/track/3pVgK4GgRU1VaorlAPKK48
Sad ,Sunny,Sindhu Bhairavi,KJ Yesudas,Mohan Sithara,Aalilakkanna Ninte ,https://open.spotify.com/track/1qerQDivue4GGec1LSwbaW
Sad ,Sunny,Sindhu Bhairavi,Biju Narayanan,Vidyasagar,Sooryanay Thazhuki,https://open.spotify.com/track/2sB91LcVLstoiHf0R5pwNL
Sad ,Sunny  ,Harikambhoji,KS Chithra,MG Radhakrishnan,Varuvaanillarumee Vayizhe,https://open.spotify.com/track/5LsB8kmXwfjQDNmW5saFJV
Sad ,Rainy ,Sindhu Bhairavi,KJ Yesudas,Raveendran,Harimuraleeravam,https://open.spotify.com/track/49fz8ZaeCXkvJ4GysGviY1
Happy ,Sunny  ,Sahana,MG Sreekumar,Berny Ignatius,Tamara Poovil Vazhum ,https://open.spotify.com/track/2enPawjJ8Aduazbib7yXkE
Happy ,Sunny  ,Aabheri,KS Chithra,Shyam,Poomaaname Oru Raga ,https://open.spotify.com/track/2tHM6yQdYbXGH6Ddx3Pdj7
Happy,Rainy,Shyam kalyan,MG Sreekumar,Berny Ignatius,Oru kathilola,https://open.spotify.com/track/46oB8t0ada0W87YyWfbSud
Neutral,Rainy,Harikamboji,KJ Yesudas,Salil Chowdhary,Kadalinakkare Ponore,https://open.spotify.com/track/5v1HfCGd1VnQm2jPc0mFqf
Angry ,Sunny,Dhanashree,Agam,Agam,DhanaShree Thillana,https://open.spotify.com/track/72OCKK05T1l6Xio5k4ANZD
Happy,Cloudy,Aarabhi,MG Sreekumar,Mohan Sithara,Niranazhiponnum,https://open.spotify.com/track/3uYDyDAh8UKAy5WiVT0mw8
Happy ,Cloudy,Neelambari,MG Sreekumar,S P Venkatesh,kilukil pambaram,https://open.spotify.com/track/30Zp34oQmhFwvRTaREltEU
Happy,Cloudy,Reethigowla,"G Venugopal,KS Chithra",Perumbavoor G. Raveendranath,Onnam ragam padi,https://open.spotify.com/track/49znt2vNpwmmLodcuWyWnf
Happy ,Rainy ,Mohanam,MG Sreekumar,Vidyasagar,Onamkilli,https://open.spotify.com/track/2c3aWMmbLT3H1vmSaMRxyl
Sad ,Cloudy,Hindolam,KS Chithra,Deepan chatterjee,padam vanamali,https://open.spotify.com/track/5FRFGl9pT2D163dZMNagPN
Sad ,Cloudy,Nalinakanthi,Agam,Agam,Mist of Capricorn,https://open.spotify.com/track/4CynbtCIynnanmhYj1FW7Q
Sad ,Cloudy,Neelambari,MG Sreekumar,Joshua Sridhar,Mukile Mukile,https://open.spotify.com/track/7ISuuOVAkiw9f1coVUOeI5
Sad ,Cloudy,Neelambari,"S P Balasubrahmanyam,Sujatha Mohan",A R Rahman,En veettu thottathil,https://open.spotify.com/track/2mgb8ZvIKXcIllKb7KhCOi
Neutral,Cloudy,Madyamavathi,KJ Yesudas,Raveendran,Gange Thudiyil,https://open.spotify.com/track/0pffINi5rfKAQhyNDsExO1
Neutral,Cloudy,Madyamavathi,"Job Kurian,Harish sivaramakrishnan",Job Kurian,Padayatra,https://open.spotify.com/track/2PDaNC5MT6HZYE52HYHyjo
Neutral,Cloudy,Madyamavathi,KJ Yesudas,Vidyadharan,Kalppaanthakaalatholam,https://open.spotify.com/track/6L8ymcu515SX8R4viozKxO
Neutral,Cloudy,Madyamavathi,MG Sreekumar,Kannur Rajan,Eeran Megham,https://open.spotify.com/track/6lIrBqWfrjoGCxWocEQIvD
Neutral,Cloudy,Madyamavathi,MG Sreekumar,Ouseppachan,Kaashithumba,https://open.spotify.com/track/4kRvz7vwJTc5qleu7wu5mV
Neutral,Sunny,Hindolam,MG Sreekumar,MG Radhakrishnan,Allikalil,https://open.spotify.com/track/5hCPzBymakeHlwovd3FVLk
Neutral,Sunny,Hindolam,"KJ Yesudas,Sujatha Mohan",Vidyasagar,Dwaadashiyil manideepika,https://open.spotify.com/track/2h8WDN4coD8MliR1ffGwn3
Neutral,Sunny,Hindolam,KS Chithra,Bharathan,Thaaram Vaalkannaadi Nokki,https://open.spotify.com/track/424sq19cdJvN2qoghkMbUD
Neutral,Sunny,Hindolam,G Venugopal,Raveendran,Chandana Manivaathil,https://open.spotify.com/track/3SOsR0FMOZTfTd5MG1MJdp
Neutral,Sunny,Hindolam,OS Arun,Mysore Vasudevachar,Thillana - Hindolam,https://open.spotify.com/track/6GJdzONvz0nnVL2boYARhk
Neutral,Sunny,Hindolam,Ramakrishnan murthy,Tyagaraja,Samaja vara gamana,https://open.spotify.com/track/1ras412OSGkL6OE0RPPqZ2
Neutral,Rainy,Harikambhoji,M.Balamuralikrishna,Tyagaraja,Raghunandana,https://open.spotify.com/track/2ZmgMdBtoFH7Hd2PMTTZpO
Neutral,Rainy,Harikambhoji,K S Gopalakrishnan,Tyagaraja,Dinamanivamsa,https://open.spotify.com/track/5QwOJSGzlXpbOyKkOuIbNt
Neutral,Rainy,Harikambhoji,"Vineeth Sreenivasan,Sujatha Mohan",Bijibal,Thaaraka Malarukal,https://open.spotify.com/track/0rQiCNLDuQJcTLwMFGuuPO
Neutral,Rainy,Harikambhoji,"P Jayachandran,KS Chithra",M Jayachandran,Kannil Kannil,https://open.spotify.com/track/0lkwVW2THGV0yPX4Crfv1F
Neutral,Rainy,Harikambhoji,"Ranjani,Gayatri",Papanasam Sivan,Enadu manam,https://open.spotify.com/track/0SqpCYYffWCB8yWsyTKFuW
Happy,Cloudy,Kathanakuthuhalam ,Saindhavi,Patnam Subramania Iyer,Raghuvamsa sudha,https://open.spotify.com/track/7b42c4xNKkA8vd3jCnMbVD
Angry ,Sunny,Thodi,"Thaikkudam Bridge,Vipin Lal,",Thaikkudam Bridge,Navarasam,https://open.spotify.com/track/7dqakqxaiFhkFaG8FvdZfU
Angry ,Sunny,Anandabhairavi ,"Vinod Krishnan,Sushmitha Ravikumar",Swathi Thirunal,Thillana - Anandabhairavi,https://open.spotify.com/track/3JmwljGpiE8aqezKAO9d2r
Angry ,Sunny,Neelambari,"Kavya Ajith,Kamala Subramaniam",Narayana Theerthar,Madhava mamava,https://open.spotify.com/track/0EbjiLMknwUf793YOBa9XB
Angry ,Sunny,Anandabhairavi ,G Venugopal,Alex Paul,Kai Niraye,https://open.spotify.com/track/4Iz2pJkc6rzHMOkkqD9DoA
Angry ,Sunny,Thodi,Sai Vignesh,Ajaneesh Lokanath,Varaha Roopam,https://open.spotify.com/track/27rOKilDt0DJV4Oyypo5z4
Sad ,Rainy,Reethigowla,Madhuthva music ,Madhuthva music,A Tryst ith Reethigowla,https://open.spotify.com/track/79thiZzQ1WnQ5wj5cbV3fr
Sad ,Rainy,Reethigowla,"Soumya Ramakrishnan,Devdutt Bijibal",Justin Varghese,Jaathikkathottam,https://open.spotify.com/track/1oMt1lfrhA2tvxjUqvpS4u
Sad ,Rainy,Reethigowla,MG Sreekumar,Raveendran,Kandu njan,https://open.spotify.com/track/5PUFcaoScKoQ1sYLRxd30T
Sad ,Rainy,Reethigowla,"KS Harishankar,Shreya Ghoshal",Kailas Menon,Jeevamshamayi,https://open.spotify.com/track/59oAJRA0zzLzl9AXa1R6zh
Sad ,Rainy,Reethigowla,Shreya Ghoshal,Vinu Thomas,Kunkumanira Sooryan,https://open.spotify.com/track/2d4Knaiposvv8cLWZy62DR
Sad ,Cloudy,Bhairavi,"Mohit Chauhan,Javed Ali,A R Rahman",A R Rahman,Kun faya kun,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
Neutral,Sunny,Sreeragam,Gowri Lekshmi,Muringoor Sankaran Potti,Ajitha Hare,https://open.spotify.com/track/5y3BFVnC2N2gdDYE6kcpVb
Sad ,Sunny,Yaman - Kalyan,Mohhemed Rafi,Jaidev,abhi na jao chhod kar ,https://open.spotify.com/track/0C47mkZ7VGcnKBvEG7PiAP
Neutral,Sunny,Hameer,Mohhemed Rafi,Naushad,Madhuban Mein Radhika Nache Re,https://open.spotify.com/track/5VV615u6N05eeBhXU3UfF2
Sad ,Rainy,Bhairavi,K L Saigal,Naushad,Jab Dil Hi Toot Gaya,https://open.spotify.com/track/2qZxTOYQVk57fUHihZj4Oo
Sad ,Rainy,Pahadi,Mohhemed Rafi,Naushad,mere mehboob tujhe meri mohabbat ki kasam ,https://open.spotify.com/track/74hUmSan0lMuECWsgja68G
Sad ,Cloudy,Megh malhar ,Rashid Khan,Khayam,Gharaje Ghata,https://open.spotify.com/track/0mjCPdf2HnZaWicJWkZ6Cs
Sad ,Sunny,Brindavan sarang,Lata Mangeshka,Hemant Kumar,Jadugar Saiyan,https://open.spotify.com/track/50k7BnDImqG5FgZ7lDQqWj
Happy,Rainy,Sriranjani,Malavika Sundar,Muthuswami Dikshitar,Shri Dhum Durge,https://open.spotify.com/track/06dBrow6UyLZS20IOiCBXe
Happy,Sunny,Saranga,Asha bhosle,Ilaiyaraaja,Oru Devathai Vandhadhu,https://open.spotify.com/track/0nn5vrbCYm6HLnk0SRl3Xd
Sad ,Rainy,Darbari Kannada,P Unnikrishnan,A R Rahman,Kaattrae En Vaasal,https://open.spotify.com/track/1edm6pAKQv5JsRjxsyjJFY
Sad ,Cloudy,Darbari Kannada,"S P Balasubrahmanyam,S Janaki",Vidyasagar,Malare Mounama,https://open.spotify.com/track/0kkkNUhAlQwm2WyMMt63qo
Happy ,Cloudy,Nalinakanthi,"Hariharan,Mahalakshmi",A R Rahman,Kandukondain Kandukondian,https://open.spotify.com/track/13N8gHhorJfa6gWmGfkoMK
Happy ,Cloudy,Abheri,S Janaki,Pendyala,Neeli Meghaalalo,https://open.spotify.com/track/0KI7IWhPBmzM4x059v5W6d
Happy,Sunny,Bhoopali,Shafqat Amanath Ali,"Shankar,Ehasan,Loy",Tere  Naina,https://open.spotify.com/track/3hoXhwP0ub9LdSJV4olDIc
Happy ,Cloudy,Bhihag,Arjith Singh,Sanjay Leela Bhansali,Lal Ishq,https://open.spotify.com/track/4hXHlAc9ZOJY5pGbdfuWsa
Sad,Sunny,Yaman - Kalyan,Arjith Singh,Ram Sampath,Sajni,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
